dataset,init_centroid,iter,centers,adj_idx,rand_idx,mirkin_idx,hubert_idx
iris,iso_s,2.29,3,0.622903994,0.833422989,0.166577011,0.666845977
iris,kmpp,4.149,3,0.583602563,0.810627586,0.189372414,0.621255172
iris,random,29.402,3,0.569481239,0.7966,0.2034,0.5932
glass,iso_s,5.651,6,0.163766618,0.66451052,0.33548948,0.329021041
glass,kmpp,4.866,6,0.173392443,0.64289701,0.35710299,0.28579402
glass,random,77.178,6,0.150836099,0.63420155,0.36579845,0.268403101
wine,iso_s,3.145,3,0.881996364,0.94732381,0.05267619,0.894647619
wine,kmpp,5.388,3,0.838565205,0.925552381,0.074447619,0.851104762
wine,random,24.775,3,0.833714483,0.920153968,0.079846032,0.840307937
